
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
003,Freight SRL,Constanta,Brasov,32tone,01-20-2025
001,Cargo SRL,Bucuresti,Cluj,2500kg,01-05-2025
002,Rapid SA,Iasi,Timișoara,18tone,01-18-2025
